species_indonesia,species_english,species_scientific,search_keywords,min_images,prioritas,fish_group,habitat_type,ornamental_type,local_names
Keong stroberi,strawberry conch,Strombus luhuanus,Keong stroberi; strawberry conch; Strombus luhuanus; strawberry conch fish,50,LOW,Siput,"LAUT, PAYAU, TAWAR",HIAS,
Keong sawah,golden snail,Pila polita,Keong sawah; golden snail; Pila polita; golden snail fish,50,LOW,Siput,"LAUT, PAYAU, TAWAR",NON HIAS,
Kepala timah,long pectoral-fin minnow,Macrochirichthys macrochirus,Kepala timah; long pectoral-fin minnow; Macrochirichthys macrochirus; long pectoral-fin minnow fish,50,LOW,Minnow,TAWAR,NON HIAS,
Katombal,black bream; goldsilk seabream; pacific seabream; picnic seabream; pikey black bream,Acanthopagrus pacificus,Katombal; black bream; goldsilk seabream; pacific seabream; picnic seabream; pikey black bream; Acanthopagrus pacificus; black bream; goldsilk seabream; pacific seabream; picnic seabream; pikey black bream fish,50,LOW,Lencam,"LAUT, PAYAU",NON HIAS,katombal (jawa)
Karper rumput,grass carp,Ctenopharyngodon idella,Karper rumput; grass carp; Ctenopharyngodon idella; grass carp fish,50,LOW,Chinese carp,TAWAR,NON HIAS,karper rumput; tonggan; tongsan
Karper kepala besar,bighead carper,Hypophthalmichthys nobilis,Karper kepala besar; bighead carper; Hypophthalmichthys nobilis; bighead carper fish,50,LOW,Chinese carp,TAWAR,NON HIAS,
Kaci-kaci,yellowdot sweetlip; lemonfish,Plectorhinchus flavomaculatus,Kaci-kaci; yellowdot sweetlip; lemonfish; Plectorhinchus flavomaculatus,50,LOW,Kaci-kaci,LAUT,NON HIAS,kaci-kaci (jakarta); kakap balong; gerot-gerot
Kaca,sailfin glass perchlet,Ambassis agrammus,Kaca; sailfin glass perchlet; Ambassis agrammus; sailfin glass perchlet fish,50,LOW,Glassfish,LAUT,NON HIAS,sepengkah (sumatera selatan); lalang (kalimantan timur); pimping; sepimping; lunjar pari; repang; kedukul; kelampak
Julung-julung mulut merah,congaturi halfbeak,Hyporhamphus limbatus,Julung-julung mulut merah; congaturi halfbeak; Hyporhamphus limbatus; congaturi halfbeak fish,50,LOW,Julung-julung,"LAUT, PAYAU, TAWAR",NON HIAS,toli-toli
Julung-julung,lutkes halfbeak,Hemiramphus lutkei,Julung-julung; lutkes halfbeak; Hemiramphus lutkei; lutkes halfbeak fish,50,LOW,Julung-julung,LAUT,NON HIAS,julung-julung; oras
Julung julung,ballyhoo halfbeak; bally,Hemiramphus brasillensis,Julung julung; ballyhoo halfbeak; bally; Hemiramphus brasillensis; ballyhoo halfbeak; bally fish,50,LOW,Julung-julung,LAUT,NON HIAS,ikan roa
Jerawat,common whelk,Buccinum undatum,Jerawat; common whelk; Buccinum undatum; common whelk fish,50,LOW,Siput,"LAUT, PAYAU",HIAS,
Jenggot two--barred,doublebar goatfish; twobarred goatfish; twosaddle goatfish,Parupeneus trifasciatus,Jenggot two--barred; doublebar goatfish; twobarred goatfish; twosaddle goatfish; Parupeneus trifasciatus,50,LOW,"Bijinangka, jenggot",LAUT,NON HIAS,dayah jenggot; ciko-ciko; jenggotan
Jenggot strip kuning,yellowstripe goatfish,Mulloidichthys flavolineatus,Jenggot strip kuning; yellowstripe goatfish; Mulloidichthys flavolineatus,50,LOW,"Bijinangka, jenggot",LAUT,"HIAS, NON HIAS",dayah jenggot; ciko-ciko; jenggotan
Kaci-kaci hitam,minstrel sweetlips,Plectorhinchus schotaf,Kaci-kaci hitam; minstrel sweetlips; Plectorhinchus schotaf; minstrel sweetlips fish,50,LOW,Kaci-kaci,LAUT,NON HIAS,kaci-kaci
Jenggot multibar,multibar goatfish; manybar goatfish; moano,Parupeneus multifasciatus,Jenggot multibar; multibar goatfish; manybar goatfish; moano; Parupeneus multifasciatus,50,LOW,"Bijinangka, jenggot",LAUT,"HIAS, NON HIAS",dayah jenggot; ciko-ciko; jenggotan
Jenggot margaretha's,margaretha's goatfish,Upeneus margarethae,Jenggot margaretha's; margaretha's goatfish; Upeneus margarethae,50,LOW,"Bijinangka, jenggot",LAUT,NON HIAS,dayah jenggot; ciko-ciko; gelang mudin
Jenggot kuning,yellow banded goatfish,Upeneus vittatus,Jenggot kuning; yellow banded goatfish; Upeneus vittatus,50,LOW,"Bijinangka, jenggot",LAUT,NON HIAS,biji nangka; salmaneta; ian puti armal; pogot; janggo-janggo; tiko; gasar; nyanggih; ciko-ciko batu; lamotu; bulu ade; tiko-tiko; samaneti; tapapulan
Jenggot goldsaddle,goldsaddle goatfish,Parupeneus cyclostomus,Jenggot goldsaddle; goldsaddle goatfish; Parupeneus cyclostomus,50,LOW,"Bijinangka, jenggot",LAUT,"HIAS, NON HIAS",dayah jenggot; ciko-ciko; jenggotan; jenggot kuning
Jenggot doublebar,doublebar goatfish,Parupeneus crassilabris,Jenggot doublebar; doublebar goatfish; Parupeneus crassilabris,50,LOW,"Bijinangka, jenggot",LAUT,NON HIAS,jenggotan; ciko-ciko; dayah jenggot;
Jenggot,asymmetrical goatfish,Upeneus asymmetricus,Jenggot; asymmetrical goatfish; Upeneus asymmetricus,50,LOW,"Bijinangka, jenggot",LAUT,NON HIAS,dayah jenggot; ciko-ciko; gelang mudin
Jelawat,hoven's carp,Leptobarbus hoevenii,Jelawat; hoven's carp; Leptobarbus hoevenii; hoven's carp fish,50,LOW,Jelawat,TAWAR,NON HIAS,klemak jelawat
